Building ID	Market	Street Address	City	State	Postal Code	Latitude	Longitude	On Zayo Network Status	Net Classification	Type	Network Proximity	 Estimated Build Cost 
Bldg-237904	Dallas	2801 Park Row Ave	Dallas	TX	75215	32.77178	-96.770481	Not on Zayo Network	Fiber Only	Middle School	3391.39	 $96,784.75 
Bldg-237899	Dallas	1111 W Kiest Blvd	Dallas	TX	75224	32.70654	-96.841671	Not on Zayo Network	Fiber Only	Elementary School	22690.47	 $579,261.75 
Bldg-237905	Dallas	1830 Goldwood Dr	Dallas	TX	75232	32.656	-96.847641	Not on Zayo Network	Fiber Only	Elementary School	29529.05	 $750,226.25 
Bldg-237906	Dallas	3000 Maryland Ave	Dallas	TX	75216	32.70855	-96.812081	Not on Zayo Network	Fiber Only	Middle School	16286.05	 $419,151.25 
Bldg-237907	Dallas	7131 Midbury Dr	Dallas	TX	75230	32.90221	-96.783271	Not on Zayo Network	Fiber Only	Elementary School	2101.64	 $64,541.00 
Bldg-237913	Dallas	10910 Ferguson Rd	Dallas	TX	75228	32.8442	-96.660711	Not on Zayo Network	Fiber Only	Elementary School	462.7	 $39,762.00 
Bldg-237908	Dallas	1819 W Wheatland Rd	Dallas	TX	75232	32.64967	-96.848621	Not on Zayo Network	Fiber Only	High School	784.42	 $31,610.50 
Bldg-237914	Dallas	2425 Pine St	Dallas	TX	75215	32.75648	-96.762121	Not on Zayo Network	Fiber Only	Elementary School	1367.32	 $46,183.00 
Bldg-237909	Dallas	12532 Nuestra Dr	Dallas	TX	75230	32.91939	-96.809881	Not on Zayo Network	Fiber Only	Middle School	2343.4	 $70,585.00 
Bldg-237915	Dallas	1738 Gano St	Dallas	TX	75215	32.772259	-96.788122	Not on Zayo Network	Fiber Only	Elementary School	3135.82	 $90,395.50 
Bldg-237910	Dallas	2100 N Farola Dr	Dallas	TX	75228	32.84568	-96.675311	Not on Zayo Network	Fiber Only	Elementary School	3164.04	 $91,101.00 
Bldg-237916	Dallas	4010 Idaho Ave	Dallas	TX	75216	32.69492	-96.810981	Not on Zayo Network	Fiber Only	Elementary School	20622.05	 $527,551.25 
